日期,場次,對手,打席,打數,得分,安打,全壘打,打點,四壞,故四,觸身,三振,犧觸,犧飛,雙殺,RE24,WPA,打擊率
08/02,176,悍,1,0,1,0,0,0,1,0,0,0,0,0,0,.5,.1,0.000
07/23,166,象,1,1,0,0,0,0,0,0,0,1,0,0,0,-0.1,-0.1,0.000
07/10,48,龍,4,2,1,0,0,0,2,0,0,0,0,0,0,.4,-0.1,0.000
07/08,94,獅,4,1,1,0,0,0,1,0,2,0,0,0,0,.1,-0.0,0.000
07/07,102,象,4,3,1,1,0,1,1,0,0,1,0,0,0,.8,.1,0.333
07/06,100,象,3,3,0,0,0,0,0,0,0,0,0,0,0,-0.3,-0.1,0.000
07/04,58,龍,4,3,1,1,0,0,1,0,0,0,0,0,0,-0.2,-0.2,0.333
07/03,150,象,5,5,0,2,0,0,0,0,0,1,0,0,0,-0.0,-0.3,0.400
07/01,89,象,4,4,0,3,0,1,0,0,0,1,0,0,0,.9,-0.0,0.750
06/30,67,龍,4,3,0,2,0,0,1,0,0,0,0,0,0,.4,.2,0.667
06/29,146,象,5,4,2,1,0,0,1,0,0,1,0,0,0,-0.1,.1,0.250
06/28,144,象,5,5,1,2,0,1,0,0,0,1,0,0,0,.5,-0.0,0.400
06/26,142,獅,5,4,1,3,0,1,1,0,0,1,0,0,0,1.0,-0.1,0.750
06/25,140,龍,3,3,0,0,0,0,0,0,0,1,0,0,0,-0.9,-0.3,0.000
06/24,138,龍,5,5,0,1,0,0,0,0,0,0,0,0,0,-0.6,-0.0,0.200
06/22,135,獅,5,4,2,3,0,0,1,0,0,0,0,0,0,1.4,.3,0.750
06/21,132,悍,1,1,0,1,0,0,0,0,0,0,0,0,0,.7,.1,1.000
06/11,117,獅,1,1,0,1,0,0,0,0,0,0,0,0,0,.4,.1,1.000
05/24,87,象,5,5,1,2,0,0,0,0,0,0,0,0,0,-0.6,.3,0.400
05/21,83,悍,3,2,0,0,0,0,1,0,0,1,0,0,0,-0.2,-0.0,0.000
05/20,81,悍,4,4,0,0,0,0,0,0,0,1,0,0,0,-1.1,-0.1,0.000
05/19,78,龍,4,3,0,1,0,0,1,0,0,0,0,0,0,.4,-0.2,0.333
05/17,75,獅,4,4,0,2,0,0,0,0,0,1,0,0,0,.0,-0.1,0.500
05/15,72,獅,5,5,0,0,0,0,0,0,0,2,0,0,1,-1.2,-0.1,0.000
05/13,68,龍,5,5,1,1,0,0,0,0,0,0,0,0,0,-0.5,-0.2,0.200
05/11,65,龍,5,3,2,1,0,1,2,0,0,0,0,0,0,.5,.4,0.333
05/10,63,悍,4,4,0,0,0,0,0,0,0,1,0,0,0,-0.9,.1,0.000
05/09,27,悍,4,3,0,1,0,1,1,0,0,1,0,0,0,1.0,.1,0.333
05/06,56,悍,5,4,0,2,0,0,1,0,0,0,0,0,0,1.2,.3,0.500
05/05,55,悍,5,5,1,2,0,1,0,0,0,0,0,0,0,.4,.1,0.400
05/04,53,悍,3,3,0,0,0,0,0,0,0,0,0,0,0,-0.4,-0.0,0.000
04/30,46,象,3,3,0,0,0,0,0,0,0,1,0,0,0,-1.1,-0.1,0.000
04/28,43,獅,6,6,1,1,0,0,0,0,0,1,0,0,0,-0.7,.0,0.167
04/27,41,悍,4,4,0,2,0,0,0,0,0,0,0,0,0,.1,-0.2,0.500
04/26,39,悍,4,4,0,0,0,0,0,0,0,2,0,0,0,-1.2,-0.1,0.000
04/24,36,象,4,4,0,1,0,0,0,0,0,2,0,0,1,-1.1,-0.1,0.250
04/22,32,獅,4,3,0,2,0,0,1,0,0,0,0,0,0,.7,.1,0.667
04/21,31,獅,3,3,1,1,0,1,0,0,0,0,0,0,0,-0.1,.1,0.333
04/20,29,獅,4,3,0,1,0,0,1,0,0,0,0,0,0,.4,.3,0.333
04/17,24,龍,4,2,0,0,0,0,2,0,0,1,0,0,0,-0.3,.1,0.000
04/16,22,龍,4,2,0,0,0,0,2,0,0,0,0,0,0,-0.1,-0.1,0.000
04/15,20,龍,5,3,0,0,0,0,1,0,0,2,1,0,1,-2.6,-0.2,0.000
04/13,17,獅,4,4,2,2,0,0,0,0,0,0,0,0,0,.1,.0,0.500
04/12,15,獅,5,4,1,3,0,1,1,0,0,0,0,0,0,2.1,-0.1,0.750
04/10,14,象,4,4,0,2,0,1,0,0,0,0,0,0,1,.3,.0,0.500
04/09,12,象,4,4,0,0,0,0,0,0,0,0,0,0,0,-0.6,-0.1,0.000
04/08,10,獅,5,4,2,2,1,1,1,0,0,0,0,0,0,1.4,.2,0.500
04/07,8,悍,4,4,0,1,0,1,0,0,0,1,0,0,1,.1,.1,0.250
04/05,6,象,4,4,2,2,0,0,0,0,0,0,0,0,1,-0.2,.2,0.500
10/25,299,悍,3,3,0,0,0,0,0,0,0,0,0,0,0,-0.6,-0.1,0.000
10/23,155,象,4,4,0,1,0,0,0,0,0,0,0,0,0,-0.2,-0.1,0.250
10/22,153,龍,6,5,0,1,0,0,1,0,0,0,0,0,1,-1.0,-0.3,0.200
10/20,222,獅,4,3,1,2,0,0,1,0,0,0,0,0,0,1.2,.0,0.667
10/19,162,獅,4,2,0,0,0,1,1,0,0,1,0,1,0,-0.2,-0.0,0.000
10/18,234,悍,4,4,0,0,0,0,0,0,0,1,0,0,0,-0.7,-0.2,0.000
10/17,232,悍,5,5,1,1,0,2,0,0,0,0,0,0,0,3.6,.3,0.200
10/14,298,龍,5,5,1,1,0,1,0,0,0,0,0,0,0,-1.7,.1,0.200
